"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_TERJEMED_NEGATIVE","Negative result","Negative result","Negativní výsledek","Negatives Ergebnis","Негативний результат","Wynik negatywny","Negatív eredmény","Risultato negativo","Resultado negativo","Résultat négatif","負面效應","否定的な結果","Resultado negativo","负面结果"
"STR_TERJEMED_POSITIVE","Positive result","Positive result","Pozitivní výsledek","Positives Ergebnis","Позитивний результат","Pozytywny wynik","Pozitív eredmény","Risultato positivo","Resultado positivo","Résultat positif","正面效應","肯定的な結果","Resultado positivo","积极的结果"
"STR_TERJEMED_PIS_CONTUSION","Concussion","Concussion","Kontuze","Quetschung","Контузія","Kontuzja","Agyrázkódás","Contusione","Contusión","Contusion","腦震盪","脳震盪","Contusão","脑震荡"
"STR_TERJEMED_PIS_CONTUSION_DESC","Brain contusion","Brain contusion","Kontuze mozku","Gehirnquetschung","Контузія головного мозку","Kontuzja mózgu","Agyi zúzódás","Contusione cerebrale","Contusión cerebral","Contusion cérébrale","腦挫傷","脳挫傷","Contusão cerebral","脑挫伤"
"STR_TERJEMED_PIS_VISCERA","Damage to internal organs with severe internal bleeding.","Damage to internal organs with severe internal bleeding.","Poškození vnitřních orgánů se silným vnitřním krvácením.","Schädigung der inneren Organe mit starken inneren Blutungen.","Пошкодження внутрішніх органів із сильною внутрішньою кровотечею.","Uszkodzenie narządów wewnętrznych z ciężkim krwawieniem wewnętrznym.","A belső szervek károsodása súlyos belső vérzéssel.","Danni agli organi interni con forti emorragie interne.","Daño a los órganos internos con hemorragia interna severa.","Dommages aux organes internes avec saignement interne grave.","內臟器官受損，並伴隨嚴重內出血。","重度の内出血を伴う内臓への損傷。","Danos nos órgãos internos com hemorragia interna grave.","严重内出血对内脏器官的损害。"
"STR_TERJEMED_BANDAGE_NAME","Hemostatic Bandage","Hemostatic Bandage","Hemostatická bandáž","Hämostatischer Verband","Гемостатичний бинт","Bandaż hemostatyczny","Vérzéscsillapító kötés","Bendaggio emostatico","Vendaje hemostático","Bandage Hémostatique","止血繃帶","止血包帯","Atadura hemostática","止血绷带"
"STR_TERJEMED_BANDAGE_DESC","Chitosan-based bandage. It can be used to stop heavy bleeding in case of bullet wounds, cuts, open fractures with rupture of blood arteries.","Chitosan-based bandage. It can be used to stop heavy bleeding in case of bullet wounds, cuts, open fractures with rupture of blood arteries.","Obvaz na bázi chitosanu. Může být použit k zastavení těžkého krvácení v případě střelných ran, řezů, otevřených zlomenin s prasknutím krevních tepen.","Verband auf Chitosanbasis. Es kann verwendet werden, um starke Blutungen bei Schusswunden, Schnitten, offenen Frakturen mit Ruptur der Blutarterien zu stoppen.","Пов'язка на основі хітозану. Його можна використовувати для зупинки сильної кровотечі при кульових пораненнях, порізах, відкритих переломах із розривом кровоносних артерій.","Opatrunek na bazie chitozanu. Może być stosowany do tamowania silnego krwawienia w ranach postrzałowych, skaleczeniach i otwartych złamaniach z pękniętymi tętnicami.","Kitozán alapú kötés. Használható a súlyos vérzés megállítására golyó sebek, vágások, nyitott törések esetén, a vér artériák törésével.","Bendaggio a base di chitosano. Può essere usato per fermare forti emorragie in caso di ferite da proiettile, tagli, fratture aperte con rottura delle arterie del sangue.","Vendaje a base de quitosano. Se puede usar para detener el sangrado abundante en caso de heridas de bala, cortes, fracturas abiertas con ruptura de arterias sanguíneas.","Bandage à base de chitosane. Il peut être utilisé pour arrêter les saignements abondants en cas de blessures par balle, de coupures, de fractures ouvertes avec rupture des artères sanguines.","基於幾丁質的繃帶。可用於止血，特別是對於槍傷、割傷、開放性骨折伴隨血管破裂的情況。","キトサンベースの包帯。 それが弾丸の傷、切口、血動脈の破裂を用いる開いたひびの場合には重い出血を停止するのに使用することができます。","Ligadura à base de quitosana. Pode ser utilizado para parar a hemorragia intensa em caso de ferimentos de bala, cortes, fracturas expostas com ruptura das artérias sanguíneas.","壳聚糖基绷带。 它可用于在枪伤，割伤，开放性骨折和血液动脉破裂的情况下止血大量出血。"
"STR_TERJEMED_SURV_NAME","Field Surgical Kit","Field Surgical Kit","Polní chirurgická souprava","Feldchirurgie-Kit","Польовий хірургічний набір","Polowy zestaw chirurgiczny","Terepi sebészeti készlet","Kit chirurgico da campo","Kit quirúrgico de campo","Kit Chirurgical","野外手術套件","フィールドサージカルキット","Kit cirúrgico de campo","野外手術套件"
"STR_TERJEMED_SURV_DESC","Field surgical kit with additional and better instruments, allowing you to operate with serious wounds right on the battlefield.","Field surgical kit with additional and better instruments, allowing you to operate with serious wounds right on the battlefield.","Polní chirurgická sada s dalšími a lepšími nástroji, která vám umožní operovat s vážnými ranami přímo na bojišti.","Feldchirurgie-Set mit zusätzlichen und besseren Instrumenten, mit denen Sie schwere Wunden direkt auf dem Schlachtfeld operieren können.","Розширений хірургічний набір з додатковими та якіснішими інструментами, що дозволяє працювати з серйозними пораненнями прямо на полі бою.","Polowy zestaw chirurgiczny z dodatkowymi i lepszymi narzędziami, umożliwiający leczenie poważnych ran bezpośrednio na miejscu.","Field sebészeti készlet további és jobb eszközök, amely lehetővé teszi, hogy működik a súlyos sebek közvetlenül a csatatéren.","Kit chirurgico da campo con strumenti aggiuntivi e migliori, che consente di operare con ferite gravi direttamente sul campo di battaglia.","Kit quirúrgico de campo con instrumentos adicionales y mejores, que le permite operar con heridas graves directamente en el campo de batalla.","Kit chirurgical avec des instruments supplémentaires et de meilleure qualité, vous permettant d'opérer des blessures graves directement sur le champ de bataille.","野外手術套件，配備額外且更優質的工具，讓你能在戰場上直接處理重傷。","追加のより良い機器を備えたフィールド手術キットで、戦場で深刻な傷を負って操作することができます。","Kit cirúrgico de campo com instrumentos adicionais e melhores, permitindo-lhe operar com ferimentos graves no campo de batalha.","野外手術套件，配備額外且更優質的工具，讓你能在戰場上直接處理重傷。"
"STR_TERJEMED_SYRINGE_NEW_NAME","Syringe (New)","Syringe (New)","Stříkačka (Nová)","Spritze (neu)","Шприц (новий)","Strzykawka (Nowa)","Fecskendő (Új)","Siringa (nuova)","Jeringa (Nueva)","Seringue (Neuve)","注射器(新)","シリンジ（新品）","Seringa (Nova)","注射器(新)"
"STR_TERJEMED_SYRINGE_NEW_DESC","Sterile medical syringe in original sealed packaging.","Sterile medical syringe in original sealed packaging.","Sterilní lékařská stříkačka v originálním uzavřeném obalu.","Sterile medizinische Spritze in versiegelter Originalverpackung.","Стерильний медичний шприц у заводській герметичній упаковці.","Sterylna strzykawka medyczna w fabrycznie zamkniętym opakowaniu.","Steril orvosi fecskendő eredeti, lezárt csomagolásban.","Siringa medica sterile in confezione originale sigillata.","Jeringa médica estéril en embalaje original sellado.","Seringue médicale stérile dans un emballage scellé d'origine.","無菌醫用注射器原密封包裝.","元の密封された包装の生殖不能の医学のスポイト。","Seringa médica estéril em embalagem original selada.","无菌医用注射器原密封包装."
"STR_TERJEMED_SYRINGE_FULL_NAME","Syringe (Full)","Syringe (Full)","Injekční Stříkačka (Plná)","Spritze (voll)","Шприц (повний)","Strzykawka (Pełna)","Fecskendő (Tele)","Siringa (piena)","Jeringa (llena)","Seringue (Pleine)","注射器(滿)","シリンジ（フル）","Seringa (Cheia)","注射器(满)"
"STR_TERJEMED_SYRINGE_EMPTY_NAME","Syringe (Empty)","Syringe (Empty)","Injekční Stříkačka (Prázdná)","Spritze (leer)","Шприц (пустий)","Strzykawka (Pusta)","Fecskendő (Üres)","Siringa (vuota)","Jeringa (vacía)","Seringue (Vide)","注射器（空）","シリンジ（空）","Seringa (Vazia)","注射器（空）"
"STR_TERJEMED_SYRINGE_FULL_DESC","A medical syringe with something inside. Can be used for injection.","A medical syringe with something inside. Can be used for injection.","Lékařská stříkačka s něčím uvnitř. Lze použít k injekci.","Eine medizinische Spritze mit etwas darin. Kann zur Injektion verwendet werden.","Медичний шприц із чимось усередині. Може бути використаний для ін'єкцій.","Strzykawka medyczna z czymś w środku. Może być używana do zastrzyków.","Egy orvosi fecskendő, benne valamivel. Használható injekcióhoz.","Una siringa medica con qualcosa dentro. Può essere usato per l'iniezione.","Una jeringa médica con algo dentro. Puede usarse para inyección.","Une seringue médicale avec quelque chose à l'intérieur. Peut être utilisée pour une injection.","裡面有東西的醫用注射器。可用於注射。","中に何かが入っている医療用注射器。 注入に使用することができます。","Uma seringa médica com algo dentro. Pode ser utilizado para injecção.","里面有东西的医用注射器。 可用于注射。"
